clone,build,package,packagetests,symbols,clobber,total
124,3037,32,15,686,246,4140
221,3060,29,14,648,207,4179
208,3028,30,14,682,221,4183
217,3029,29,13,716,210,4214
205,2990,30,15,689,215,4144
208,3011,30,14,653,217,4133
205,2998,29,16,697,228,4173
211,3001,30,14,644,216,4116
212,3013,29,13,646,225,4138
219,3003,29,13,700,234,4198
196,2986,29,12,708,215,4146
213,2985,28,11,714,218,4169
199,2993,30,13,695,233,4163
194,2993,30,14,643,225,4099
208,3009,30,12,649,235,4143
198,2999,31,12,697,216,4153
211,3006,30,14,706,215,4182
