clone,build,package,packagetests,symbols,clobber,total
91,2826,24,11,603,43,3598
91,2796,23,11,603,44,3568
90,2799,24,10,606,43,3572
92,2801,23,11,608,44,3579
90,2799,25,11,602,43,3570
90,2803,23,10,600,43,3569
91,2799,24,11,601,43,3569
91,2799,23,10,604,43,3570
90,2796,24,10,606,43,3569
90,2804,23,12,602,43,3574
91,2806,23,10,598,43,3571
91,2806,23,12,598,43,3573
91,2802,23,11,603,43,3573
91,2803,24,11,601,44,3574
89,2804,23,10,604,43,3573
90,2803,23,11,602,44,3573
89,2803,23,11,601,43,3570
91,2808,23,11,601,44,3578
91,2806,23,10,603,44,3577
90,2807,23,11,608,44,3583
89,2805,23,10,596,44,3567
89,2807,23,11,602,44,3576
90,2805,23,11,602,43,3574
90,2806,24,10,600,44,3574
90,2806,23,11,601,44,3575
90,2810,22,10,612,44,3588
90,2809,24,11,602,43,3579
91,2809,23,12,605,44,3584
90,2813,23,10,602,44,3582
90,2814,23,12,605,44,3588
91,2806,23,11,608,43,3582
90,2810,23,10,615,44,3592
90,2813,23,12,609,43,3590
91,2813,24,10,611,44,3593
91,2816,24,11,617,43,3602
91,2813,23,11,616,44,3598
91,2815,23,11,620,44,3604
91,2818,23,10,620,44,3606
90,2815,24,10,618,43,3600
91,2816,23,10,619,44,3603
89,2817,22,12,618,44,3602
90,2818,24,10,620,43,3605
90,2817,23,11,624,43,3608
92,2819,23,12,621,44,3611
91,2819,23,11,620,44,3608
90,2823,23,12,619,43,3610
91,2818,23,10,621,44,3607
89,2820,23,11,621,44,3608
90,2823,22,12,622,44,3613
90,2820,22,11,621,43,3607
91,2821,24,11,624,44,3615
89,2825,22,12,622,43,3613
91,2820,24,10,619,44,3608
89,2821,24,11,618,44,3607
91,2825,23,10,619,43,3611
91,2826,23,11,620,43,3614
91,2827,23,11,616,44,3612
91,2826,23,12,619,43,3614
92,2827,23,11,617,43,3613
91,2831,22,12,620,44,3620
90,2828,23,10,617,44,3612
91,2830,22,12,622,43,3620
91,2832,23,11,616,44,3617
90,2831,23,12,617,44,3617
91,2829,23,12,619,44,3618
90,2835,23,11,616,43,3618
92,2832,25,11,618,43,3621
91,2879,24,10,618,44,3666
90,2886,24,11,621,44,3676
91,2878,23,12,618,44,3666
92,2837,24,11,626,44,3634
92,2906,25,11,623,43,3700
91,2905,23,12,623,44,3698
90,2896,24,11,619,44,3684
92,2910,24,12,626,44,3708
91,2921,24,12,618,44,3710
91,2900,24,12,620,44,3691
91,2909,24,11,616,44,3695
