clone,build,package,packagetests,symbols,clobber,total
115,3537,37,16,754,114,4573
159,3580,37,17,749,130,4672
159,3573,35,19,784,123,4693
171,3598,36,17,756,129,4707
158,3614,37,18,750,134,4711
159,3601,37,17,761,128,4703
162,3560,38,17,752,144,4673
173,3527,37,16,759,136,4648
169,3535,36,17,758,127,4642
168,3540,38,25,746,128,4645
165,3521,37,17,757,129,4626
170,3528,37,16,765,139,4655
169,3522,34,18,768,128,4639
161,3540,38,17,756,132,4644
167,3537,37,17,752,139,4649
165,3525,35,17,763,143,4648
172,3524,37,18,756,132,4639
165,3530,37,15,758,129,4634
165,3538,36,18,763,138,4658
172,3531,36,17,759,126,4641
164,3524,37,17,763,139,4644
167,3534,37,17,765,137,4657
176,3538,37,17,765,139,4672
169,3538,36,17,768,147,4675
172,3537,37,17,763,142,4668
172,3556,37,17,763,138,4683
175,3536,37,18,767,148,4681
169,3579,35,15,752,135,4685
165,3519,37,18,763,145,4647
172,3529,37,17,791,148,4694
169,3547,37,18,775,143,4689
180,3521,38,17,772,132,4660
166,3540,36,18,758,148,4666
165,3562,36,18,768,146,4695
172,3534,37,18,763,137,4661
164,3532,36,18,773,132,4655
170,3542,36,16,777,139,4680
169,3537,36,17,765,137,4661
162,3564,36,18,767,141,4688
173,3556,35,13,775,162,4714
166,3548,36,18,765,133,4666
171,3547,36,21,759,142,4676
164,3554,37,24,772,144,4695
168,3556,37,20,748,148,4677
170,3539,37,18,780,146,4690
173,3548,38,36,758,150,4703
175,3558,38,37,759,150,4717
170,3553,36,19,772,137,4687
183,3558,36,16,749,153,4695
180,3533,35,20,803,139,4710
172,3558,34,38,754,152,4708
173,3544,36,21,773,141,4688
176,3571,36,14,791,142,4730
172,3540,38,17,790,140,4697
177,3556,38,39,756,156,4722
174,3535,37,17,760,146,4669
180,3579,36,17,787,135,4734
178,3575,37,16,743,150,4699
176,3567,36,19,779,156,4733
178,3563,37,18,787,150,4733
175,3586,36,17,741,143,4698
175,3569,37,18,782,138,4719
175,3554,36,17,779,143,4704
189,3550,38,37,778,155,4747
177,3573,35,19,785,138,4727
182,3546,39,20,845,138,4770
182,3564,35,19,794,154,4748
177,3542,36,44,771,145,4715
178,3551,36,19,812,141,4737
169,3566,36,18,833,142,4764
171,3561,36,17,824,164,4773
170,3557,36,17,824,154,4758
171,3572,38,18,825,152,4776
172,3556,37,19,802,144,4730
173,3565,37,17,793,150,4735
175,3566,36,17,822,146,4762
182,3544,38,27,823,149,4763
175,3551,37,15,826,162,4766
178,3587,35,15,783,141,4739
175,3573,38,19,829,174,4808
183,3559,37,16,803,146,4744
184,3581,38,19,826,148,4796
185,3570,36,17,824,146,4778
186,3574,38,18,830,144,4790
184,3581,40,16,846,148,4815
178,3578,40,19,823,161,4799
175,3585,39,18,827,153,4797
182,3586,39,18,826,156,4807
181,3584,38,20,822,152,4797
180,3595,39,18,830,149,4811
168,3580,39,18,835,159,4799
176,3579,38,17,828,153,4791
173,3591,37,18,826,153,4798
184,3600,39,17,833,146,4819
182,3604,38,19,832,152,4827
189,3589,40,20,835,163,4836
174,3601,37,17,837,158,4824
181,3622,37,16,784,148,4788
180,3600,38,20,821,156,4815
179,3616,38,18,837,150,4838
175,3709,40,20,840,151,4935
175,3663,39,16,809,158,4860
182,3661,37,21,833,153,4887
179,3663,39,19,839,159,4898
180,3646,39,17,837,156,4875
189,3635,38,18,850,153,4883
175,3672,39,18,846,156,4906
183,3663,38,17,825,164,4890
185,3673,38,19,838,157,4910
180,3641,38,17,844,157,4877
185,3674,39,18,856,152,4924
180,3658,37,23,841,152,4891
178,3665,37,15,790,167,4852
193,3688,38,18,842,156,4935
179,3639,39,18,841,182,4898
185,3655,38,19,845,152,4894
188,3670,38,18,847,149,4910
179,3652,39,19,843,168,4900
191,3654,37,16,907,172,4977
190,3684,37,18,832,155,4916
180,3652,38,19,841,154,4884
184,3676,38,20,853,152,4923
181,3643,39,17,864,166,4910
